Country,Region,Zone,ISO3,Admin2 Pcode,Admin1 Pcode,Events,date
Ethiopia,Oromia,Kellem Wollega,ETH,ET0418,ET04,0,2018-05-01
Ethiopia,Oromia,West Shewa,ETH,ET0405,ET04,1,2018-05-01
Ethiopia,Oromia,West Wellega,ETH,ET0401,ET04,0,2018-05-01
Ethiopia,SNNP,Yem Special,ETH,ET0724,ET07,0,2018-05-01
Ethiopia,Tigray,South Eastern Tigray,ETH,ET0106,ET01,0,2018-05-01
Ethiopia,Addis Ababa,Region 14,ETH,ET1401,ET14,0,2018-05-01
Ethiopia,Amhara,East Gojam,ETH,ET0306,ET03,0,2018-05-01
Ethiopia,Amhara,West Gojam,ETH,ET0307,ET03,0,2018-05-01
Ethiopia,Amhara,West Gondar,ETH,ET0312,ET03,0,2018-05-01
Ethiopia,Gambela,Itang Special woreda,ETH,ET1204,ET12,0,2018-05-01
Ethiopia,Oromia,Buno Bedele,ETH,ET0416,ET04,0,2018-05-01
Ethiopia,Oromia,Finfine Special,ETH,ET0420,ET04,0,2018-05-01
Ethiopia,Oromia,Horo Gudru Wellega,ETH,ET0419,ET04,1,2018-05-01
Ethiopia,Oromia,North Shewa,ETH,ET0406,ET04,0,2018-05-01
Ethiopia,SNNP,Alle,ETH,ET0712,ET07,0,2018-05-01
Ethiopia,SNNP,Derashe,ETH,ET0723,ET07,0,2018-05-01
Ethiopia,SNNP,Guraghe,ETH,ET0701,ET07,0,2018-05-01
Ethiopia,SNNP,Kembata Tibaro,ETH,ET0703,ET07,0,2018-05-01
Ethiopia,SNNP,Konso,ETH,ET0713,ET07,0,2018-05-01
Ethiopia,Somali,Shabelle,ETH,ET0506,ET05,0,2018-05-01
Ethiopia,Tigray,Mekelle Tigray,ETH,ET0107,ET01,0,2018-05-01
Ethiopia,Tigray,North Western Tigray,ETH,ET0101,ET01,0,2018-05-01
Ethiopia,Tigray,Southern Tigray,ETH,ET0104,ET01,0,2018-05-01
Ethiopia,Benshangul/Gumuz,Kemashi,ETH,ET0604,ET06,0,2018-06-01
Ethiopia,Gambela,Majang,ETH,ET1203,ET12,0,2018-06-01
